 tp_id |      symbol       | direction |  entry_price   |   stop_loss    | take_profit_1  | tp_status |      activated_at      |         created_at         | has_toobit_demo_order | toobit_order_status | toobit_error | has_competition_trade 
-------+-------------------+-----------+----------------+----------------+----------------+-----------+------------------------+----------------------------+-----------------------+---------------------+--------------+-----------------------
 14802 | HYPE/USDT:USDT    | long      |    58.30700000 |    51.41400000 |    65.00000000 | closed    | 2026-06-13 06:08:00+02 | 2026-06-12 15:26:00.837+02 | no                    |                     |              | no
 14800 | US30/USDT:USDT    | long      | 49648.50000000 | 49548.10000000 | 51306.40000000 | expired   |                        | 2026-06-12 15:21:23.834+02 | no                    |                     |              | no
 14781 | BONK/USDT:USDT    | long      |     0.00000436 |     0.00000390 |     0.00000594 | open      | 2026-06-12 08:34:00+02 | 2026-06-11 23:13:00.458+02 | no                    |                     |              | no
 14733 | NEAR/USDT:USDT    | long      |     2.01200000 |     1.89000000 |     2.22000000 | closed    | 2026-06-11 03:41:00+02 | 2026-06-11 00:00:04.46+02  | no                    |                     |              | no
 14734 | ONDO/USDT:USDT    | long      |     0.34380000 |     0.34080000 |     0.37590000 | closed    | 2026-06-11 05:45:00+02 | 2026-06-11 00:00:02.898+02 | no                    |                     |              | no
 14731 | STR/USDT          | long      |   118.82000000 |    95.00000000 |   155.24000000 | cancelled |                        | 2026-06-10 23:59:43.092+02 | no                    |                     |              | no
 14718 | PUMP/USDT:USDT    | short     |     0.00181400 |     0.00184300 |     0.00165000 | expired   |                        | 2026-06-10 23:30:31.816+02 | no                    |                     |              | no
 14717 | VIRTUAL/USDT:USDT | long      |     0.57090000 |     0.56400000 |     0.59500000 | closed    | 2026-06-11 06:51:00+02 | 2026-06-10 23:28:01.914+02 | no                    |                     |              | no
 14713 | SOLBTC/USDT       | long      |     0.00108940 |     0.00098000 |     0.00129310 | cancelled |                        | 2026-06-10 23:25:19.822+02 | no                    |                     |              | no
 14714 | US30/USDT:USDT    | long      | 50850.00000000 | 50550.00000000 | 51800.00000000 | closed    | 2026-06-11 21:25:00+02 | 2026-06-10 23:25:16.591+02 | no                    |                     |              | no
 14712 | WSTR/USDT         | long      |   127.67000000 |   100.00000000 |   202.93000000 | cancelled |                        | 2026-06-10 23:24:45.967+02 | no                    |                     |              | no
 14711 | STRCL/USDT        | short     |    95.50000000 |    99.44000000 |    93.50000000 | cancelled |                        | 2026-06-10 23:21:51.088+02 | no                    |                     |              | no
 14637 | TON/USDT:USDT     | long      |     1.74820000 |     1.70000000 |     1.96000000 | closed    | 2026-06-08 19:08:00+02 | 2026-06-08 19:07:09.233+02 | no                    |                     |              | no
 14633 | SOLBTC/USDT       | long      |     0.00105460 |                |     0.00128400 | cancelled |                        | 2026-06-08 19:02:47.599+02 | no                    |                     |              | no
 14629 | XAU/USDT:USDT     | long      |  4344.06000000 |  4274.87800000 |  4415.01600000 | closed    | 2026-06-08 19:00:00+02 | 2026-06-08 18:54:53.766+02 | no                    |                     |              | no
 14627 | MSFT/USDT:USDT    | long      |   412.08000000 |   405.06000000 |   553.98000000 | closed    | 2026-06-08 20:02:00+02 | 2026-06-08 18:51:38.368+02 | no                    |                     |              | no
 14626 | STRC/USDT         | short     |    98.69000000 |    99.16000000 |                | cancelled |                        | 2026-06-08 18:51:21.748+02 | no                    |                     |              | no
 14512 | BNB/USDT:USDT     | long      |   658.09000000 |                |                | open      | 2026-06-02 21:02:00+02 | 2026-06-02 18:45:27.197+02 | no                    |                     |              | no
 14451 | VIRTUAL/USDT:USDT | long      |     0.68440000 |     0.66500000 |                | closed    | 2026-06-04 03:58:00+02 | 2026-06-01 19:16:57.738+02 | no                    |                     |              | no
 14444 | XAU/USDT:USDT     | long      |  4393.79800000 |  4374.55400000 |  4520.15200000 | closed    | 2026-06-05 15:37:00+02 | 2026-06-01 19:00:12.322+02 | no                    |                     |              | no
(20 rows)

