 tp_id |           symbol           | direction |  entry_price   |   stop_loss    | take_profit_1  | tp_status |         activated_at          |         created_at         | has_toobit_demo_order | toobit_order_status |                     toobit_error                     | has_competition_trade | ct_id | ct_tp_id | ct_entered_at | ct_exit_reason 
-------+----------------------------+-----------+----------------+----------------+----------------+-----------+-------------------------------+----------------------------+-----------------------+---------------------+------------------------------------------------------+-----------------------+-------+----------+---------------+----------------
 15200 | ICP/USDT:USDT              | long      |     2.03200000 |     1.92300000 |     2.58400000 | open      | 2026-06-26 04:13:26.70815+02  | 2026-06-25 19:05:16.933+02 | yes                   | pending             |                                                      | no                    |       |          |               | 
 15199 | AERO/USDT:USDT             | long      |     0.41890000 |     0.39500000 |     0.53000000 | open      | 2026-06-26 04:13:26.70815+02  | 2026-06-25 18:58:12.731+02 | yes                   | cancelled           | manual: stale pending on Toobit (price fetch failed) | no                    |       |          |               | 
 15196 | VIRTUAL/USDT:USDT          | long      |     0.45800000 |     0.40130000 |     0.69120000 | open      | 2026-06-26 04:13:26.70815+02  | 2026-06-25 18:57:55.769+02 | yes                   | cancelled           | manual: stale pending on Toobit (price fetch failed) | no                    |       |          |               | 
 15197 | XRP/USDT:USDT-260626-1.7-P | long      |     1.02960000 |     0.96500000 |     1.52360000 | pending   |                               | 2026-06-25 18:57:55.73+02  | no                    |                     |                                                      | no                    |       |          |               | 
 15195 | SOL/USDT:USDT-260531-90-P  | long      |    65.87000000 |    48.58000000 |    78.41000000 | pending   |                               | 2026-06-25 18:54:36.326+02 | no                    |                     |                                                      | no                    |       |          |               | 
 15193 | NEAR/USDT:USDT             | long      |     1.68000000 |     1.53700000 |     2.04600000 | open      | 2026-06-26 04:13:26.70815+02  | 2026-06-25 18:54:32.741+02 | yes                   | cancelled           | manual: stale pending on Toobit (price fetch failed) | no                    |       |          |               | 
 15192 | ONDO/USDT:USDT             | long      |     0.30920000 |     0.27310000 |     0.37930000 | open      | 2026-06-25 19:10:00+02        | 2026-06-25 18:54:32.734+02 | yes                   | closed              |                                                      | no                    |       |          |               | 
 15190 | AAPL/USDT:USDT             | long      |   274.23000000 |   272.81000000 |   286.36000000 | closed    | 2026-06-25 18:52:38.847831+02 | 2026-06-25 18:51:49.253+02 | yes                   | cancelled           | orphan: paper position no longer pending             | no                    |       |          |               | 
 15188 | US30/USDT:USDT             | long      | 52008.30000000 | 51909.20000000 | 52207.10000000 | closed    | 2026-06-25 18:50:17.112976+02 | 2026-06-25 18:48:37.337+02 | no                    |                     |                                                      | no                    |       |          |               | 
 15186 | USO/USDT:USDT              | long      |    67.00100000 |    63.60200000 |    73.36400000 | pending   |                               | 2026-06-25 18:48:31.843+02 | no                    |                     |                                                      | no                    |       |          |               | 
 15184 | BTC/USDT:USDT              | long      | 57696.40000000 | 56500.00000000 | 61582.10000000 | open      | 2026-06-26 04:13:26.70815+02  | 2026-06-25 18:45:36.091+02 | yes                   | cancelled           | manual: stale pending on Toobit (price fetch failed) | no                    |       |          |               | 
 15139 | ETH/USDT:USDT              | long      |  1951.75000000 |  1502.39000000 |  2343.04000000 | pending   |                               | 2026-06-24 17:35:56.729+02 | no                    |                     |                                                      | no                    |       |          |               | 
 15137 | HYPE/USDT:USDT             | long      |    58.01800000 |    55.44500000 |    75.71400000 | open      | 2026-06-27 10:16:33.729378+02 | 2026-06-24 17:32:41.746+02 | no                    |                     |                                                      | no                    |       |          |               | 
 15135 | XAG/USDT:USDT              | long      |    49.83100000 |                |    68.43800000 | open      | 2026-06-24 17:32:37.339033+02 | 2026-06-24 17:32:34.065+02 | yes                   | cancelled           | manual: stale pending on Toobit (price fetch failed) | no                    |       |          |               | 
 15134 | XAU/USDT:USDT              | long      |  4007.98000000 |  3987.32000000 |  4100.00000000 | closed    | 2026-06-24 17:32:37.339033+02 | 2026-06-24 17:32:17.477+02 | no                    |                     |                                                      | no                    |       |          |               | 
 15132 | MSTR/USDT:USDT             | long      |    98.96000000 |    75.00000000 |   142.81000000 | pending   |                               | 2026-06-24 17:29:21.052+02 | no                    |                     |                                                      | no                    |       |          |               | 
 15106 | VIRTUAL/USDT:USDT          | long      |     0.55350000 |     0.53220000 |     0.61570000 | closed    | 2026-06-24 05:26:22.184432+02 | 2026-06-23 18:47:14.389+02 | no                    |                     |                                                      | no                    |       |          |               | 
 15104 | NEAR/USDT:USDT             | long      |     2.01100000 |     1.91900000 |     2.20300000 | closed    | 2026-06-24 05:26:22.184432+02 | 2026-06-23 18:46:39.035+02 | no                    |                     |                                                      | no                    |       |          |               | 
 15103 | ONDO/USDT:USDT             | long      |     0.31050000 |     0.27310000 |     0.37930000 | open      | 2026-06-23 18:49:00+02        | 2026-06-23 18:46:33.995+02 | no                    |                     |                                                      | no                    |       |          |               | 
 15102 | ETH/USDT:USDT              | long      |  1965.97000000 |  1367.61000000 |  2303.34000000 | open      | 2026-06-24 05:26:22.184432+02 | 2026-06-23 18:43:34.254+02 | no                    |                     |                                                      | no                    |       |          |               | 
 15099 | HYPE/USDT:USDT             | long      |    58.01800000 |    55.44500000 |    75.71400000 | open      | 2026-06-24 05:26:22.184432+02 | 2026-06-23 18:43:25.522+02 | no                    |                     |                                                      | no                    |       |          |               | 
 15100 | BTC/USDT:USDT              | long      | 60239.40000000 | 57695.40000000 | 69575.20000000 | open      | 2026-06-24 05:26:22.184432+02 | 2026-06-23 18:43:23.225+02 | no                    |                     |                                                      | no                    |       |          |               | 
 15098 | BTC/USDT:USDT              | long      | 62238.20000000 | 61500.00000000 | 65392.00000000 | closed    | 2026-06-23 18:38:31.45118+02  | 2026-06-23 18:37:33.084+02 | no                    |                     |                                                      | no                    |       |          |               | 
 15067 | VIRTUAL/USDT:USDT          | long      |     0.55480000 |     0.53220000 |     0.61570000 | closed    | 2026-06-23 07:43:41.45629+02  | 2026-06-22 19:02:40.315+02 | no                    |                     |                                                      | no                    |       |          |               | 
 15066 | NEAR/USDT:USDT             | long      |     1.97800000 |     1.91800000 |     2.12800000 | closed    | 2026-06-23 07:43:41.45629+02  | 2026-06-22 19:02:38.837+02 | no                    |                     |                                                      | no                    |       |          |               | 
 15063 | ETH/USDT:USDT              | long      |  1502.39000000 |  1367.61000000 |  2303.34000000 | open      | 2026-06-23 07:45:23.687592+02 | 2026-06-22 18:49:33.967+02 | no                    |                     |                                                      | no                    |       |          |               | 
 15062 | HYPE/USDT:USDT             | long      |    64.78300000 |    56.64400000 |    70.41400000 | open      | 2026-06-23 07:45:23.687592+02 | 2026-06-22 18:49:33.82+02  | no                    |                     |                                                      | no                    |       |          |               | 
 15060 | MSTR/USDT:USDT             | long      |   110.22000000 |    80.00000000 |   190.74000000 | open      | 2026-06-22 18:47:00+02        | 2026-06-22 18:46:18.199+02 | no                    |                     |                                                      | no                    |       |          |               | 
