  id   | tracked_position_id |      symbol       | direction |  paper_entry   |   demo_entry   |    paper_sl    |    paper_tp    | leverage |  status   |                    error_message                     |          ordered_at           |           filled_at           |           closed_at           | exit_price | paper_pnl | demo_pnl 
-------+---------------------+-------------------+-----------+----------------+----------------+----------------+----------------+----------+-----------+------------------------------------------------------+-------------------------------+-------------------------------+-------------------------------+------------+-----------+----------
 20421 |               15200 | ICP/USDT:USDT     | long      |     2.03200000 |     2.03200000 |     1.92300000 |     2.58400000 |       14 | pending   |                                                      | 2026-06-26 16:21:20.487494+02 |                               |                               |            |           |         
 18864 |               15199 | AERO/USDT:USDT    | long      |     0.41890000 |     0.41890000 |     0.39500000 |     0.53000000 |       13 | cancelled | manual: stale pending on Toobit (price fetch failed) | 2026-06-26 04:21:47.655024+02 |                               |                               |            |           |         
 18858 |               15196 | VIRTUAL/USDT:USDT | long      |     0.45800000 |     0.45800000 |     0.40130000 |     0.69120000 |        6 | cancelled | manual: stale pending on Toobit (price fetch failed) | 2026-06-26 04:21:34.332974+02 |                               |                               |            |           |         
 18852 |               15193 | NEAR/USDT:USDT    | long      |     1.68000000 |     1.68000000 |     1.53700000 |     2.04600000 |        9 | cancelled | manual: stale pending on Toobit (price fetch failed) | 2026-06-26 04:21:19.949738+02 |                               |                               |            |           |         
 18843 |               15184 | BTC/USDT:USDT     | long      | 57696.40000000 | 57696.40000000 | 56500.00000000 | 61582.10000000 |       33 | cancelled | manual: stale pending on Toobit (price fetch failed) | 2026-06-26 04:20:53.211745+02 |                               |                               |            |           |   0.9664
 15976 |               15192 | ONDO/USDT:USDT    | long      |     0.30920000 |     0.30920000 |     0.27310000 |     0.37930000 |        7 | closed    |                                                      | 2026-06-25 19:13:08.542025+02 | 2026-06-25 20:35:30.541814+02 | 2026-06-25 20:35:31.417073+02 | 0.30800000 |           |   1.3203
 15810 |               15190 | AAPL/USDT:USDT    | long      |   274.23000000 |   274.23000000 |   272.81000000 |   286.36000000 |       20 | cancelled | orphan: paper position no longer pending             | 2026-06-25 18:56:19.888378+02 |                               |                               |            |           |         
  6751 |               15135 | XAG/USDT:USDT     | long      |    49.83100000 |    49.83100000 |                |    68.43800000 |       15 | cancelled | manual: stale pending on Toobit (price fetch failed) | 2026-06-24 23:23:40.38261+02  |                               |                               |            |           |         
(8 rows)

